Tên sản phẩm,Giá (VNĐ),Thương hiệu,Đã bán,Điểm đánh giá,Số lượng đánh giá,Danh Mục,platform
Nước Tẩy Trang L'Oreal Căng Mịn Da 400ml,175000,L'Oreal,394,4.8,297,Chăm sóc da mặt,Hasaki
Kem Chống Nắng Vichy Thoáng Nhẹ Không Bóng Dầu SPF 50 50ml,382000,Vichy,175,4.9,35,Chăm sóc da mặt,Hasaki
Nước Hoa Hồng Obagi 2% BHA Giảm Nhờn Mụn 148ml,898000,Obagi,74,4.9,15,Chăm sóc da mặt,Hasaki
Serum Skin1004 Rau Má Làm Dịu & Hỗ Trợ Phục Hồi Da 100ml,317000,Skin1004,205,4.9,102,Chăm sóc da mặt,Hasaki
"Kem Chống Nắng Beplain Nâng Tông, Kiềm Dầu Mịn Lì 50ml",273000,Beplain,236,4.9,25,Chăm sóc da mặt,Hasaki
"Nước Tẩy Trang La Roche-Posay Cho Da Dầu, Nhạy Cảm 400ml",384000,La Roche-Posay,165,4.9,34,Chăm sóc da mặt,Hasaki
Combo Kem Chống Nắng Dr.G Dưỡng Sáng Da 50ml+20ml,357000,Dr.G,177,4.9,16,Chăm sóc da mặt,Hasaki
Combo 2 Gel Rửa Mặt Cocoon Bí Đao Giúp Giảm Dầu & Mụn 310ml,290000,Cocoon,216,4.9,12,Chăm sóc da mặt,Hasaki
Kem Chống Nắng d'Alba Nâng Tông Tím Hiệu Chỉnh Sắc Da 50ml,411000,d'Alba,152,5.0,26,Chăm sóc da mặt,Hasaki
Nước Tẩy Trang L'Oreal Làm Sạch Sâu Cho Da Dầu 400ml,165000,L'Oreal,377,4.8,297,Chăm sóc da mặt,Hasaki
Nước Tẩy Trang Garnier Dành Cho Da Nhạy Cảm 400ml,123000,Garnier,500,4.9,69,Chăm sóc da mặt,Hasaki
Tẩy Da Chết Mặt Cocoon Cà Phê Đắk Lắk 150ml,106000,Cocoon,573,4.9,29,Chăm sóc da mặt,Hasaki
Combo 2 Kem Chống Nắng Cocoon Bí Đao Quang Phổ Rộng 50ml,363000,Cocoon,166,4.8,12,Chăm sóc da mặt,Hasaki
Mặt Nạ Beplain Đất Sét Từ Đậu Xanh Hỗ Trợ Sạch Sâu 120ml,268000,Beplain,222,5.0,7,Chăm sóc da mặt,Hasaki
Combo 10 Mặt Nạ BNBG Vitamin B Phục Hồi Da 30ml (Mới),147000,BNBG,393,4.9,11,Chăm sóc da mặt,Hasaki
"Combo 10 Mặt Nạ Caryophy Giảm Mụn, Thâm & Dưỡng Ẩm Da 22g",229000,Caryophy,244,5.0,34,Chăm sóc da mặt,Hasaki
Nước Tẩy Trang Garnier Làm Sạch Sâu Lớp Trang Điểm 400ml,135000,Garnier,413,4.9,69,Chăm sóc da mặt,Hasaki
Sữa Dưỡng Ẩm Embryolisse Siêu Phục Hồi Da 75ml,327000,Embryolisse,170,4.8,40,Chăm sóc da mặt,Hasaki
"Serum Torriden Dưỡng Ẩm Sâu, Sáng Bóng Da 50ml",224000,Torriden,248,5.0,5,Chăm sóc da mặt,Hasaki
Serum d'Alba Dạng Xịt Nấm Truffle Trắng Căng Bóng Da 100ml,361000,d'Alba,150,5.0,8,Chăm sóc da mặt,Hasaki
"Kem Chống Nắng La Roche-Posay Phổ Rộng, Nâng Tông Kiềm Dầu 50ml",395000,La Roche-Posay,134,4.8,26,Chăm sóc da mặt,Hasaki
Combo 4 Gel Rửa Mặt La Roche-Posay Cho Da Dầu Nhạy Cảm 50ml,219000,La Roche-Posay,239,4.9,142,Chăm sóc da mặt,Hasaki
"Serum GoodnDoc Dưỡng Ẩm, Hỗ Trợ Phục Hồi Da 30ml",343000,GoodnDoc,151,4.9,23,Chăm sóc da mặt,Hasaki
Combo L'Oreal Serum Hyaluronic Acid Cấp Ẩm Sáng Da 30ml + 2 Kem Dưỡng Siêu Cấp Ẩm Căng Mịn Da 15ml,327000,L'Oreal,158,4.9,27,Chăm sóc da mặt,Hasaki
Sữa Rửa Mặt Simple Giúp Da Sạch Thoáng 150ml,91000,Simple,566,4.8,129,Chăm sóc da mặt,Hasaki
Kem Rửa Mặt Hada Labo Sạch Sâu Dưỡng Ẩm 80g,60000,Hada Labo,842,4.9,87,Chăm sóc da mặt,Hasaki
Serum Timeless Vitamin B5 Làm Dịu & Phục Hồi Da 30ml,344000,Timeless,145,5.0,65,Chăm sóc da mặt,Hasaki
Tinh Chất Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Tím),130000,Sunplay,378,4.9,136,Chăm sóc da mặt,Hasaki
Combo Angel's Liquid Tinh Chất 30ml + Kem Dưỡng 50ml Giảm Thâm Nám Chuyên Biệt,1143000,Angel's Liquid,43,5.0,8,Chăm sóc da mặt,Hasaki
Kem Chống Nắng d'Alba Nâng Tông Sáng Hồng Tự Nhiên 50ml,411000,d'Alba,118,5.0,26,Chăm sóc da mặt,Hasaki
Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 1000ml (Mới),567000,Cetaphil,85,4.8,42,Chăm sóc da mặt,Hasaki
Serum La Roche-Posay Giúp Tái Tạo & Phục Hồi Da 30ml,1140000,La Roche-Posay,41,4.9,20,Chăm sóc da mặt,Hasaki
Dung Dịch Tẩy Da Chết Paula’s Choice 2% BHA 30ml,264000,Paula's Choice,174,4.9,154,Chăm sóc da mặt,Hasaki
Combo Cocoon Tẩy Da Chết Cho Mặt 150ml + Toàn Thân 200ml Từ Cà Phê Đắk Lắk,159000,Cocoon,284,5.0,53,Chăm sóc da mặt,Hasaki
Kem Dưỡng L'Oreal Sáng Mịn Mờ Thâm Nám Ban Đêm 50ml,268000,L'Oreal,156,4.9,20,Chăm sóc da mặt,Hasaki
Kem Dưỡng La Roche-Posay Giảm Mụn Hiệu Quả 40ml,383000,La Roche-Posay,109,4.9,23,Chăm sóc da mặt,Hasaki
